nome,estado,regiao,partido,posicao,gastos.total,presencas.total
Antonio Da Conceição Costa Ferreira,MA,Nordeste,PSC,Governo,156.84,91
Maria Dalva De Souza Figueiredo,AP,Norte,PT,Governo,139749,132
Damião Feliciano Da Silva,PB,Nordeste,PDT,Governo,115580.26,159
Daniel Gomes De Almeida,BA,Nordeste,PC do B,Governo,127586.99,177
Francisco Danilo Bastos Forte,CE,Nordeste,PMDB,Governo,61459.97,177
Danrlei De Deus Hinterholz,RS,Sul,PSD,Independente,86430.05,162
Darcísio Paulo Perondi,RS,Sul,PMDB,Governo,152792.62,167
David Samuel Alcolumbre Tobelem,AP,Norte,DEM,Oposicao,160924.92,132
Davi Alves Silva Júnior,MA,Nordeste,PR,Independente,150433.84,177
Décio Nery De Lima,SC,Sul,PT,Governo,137896.33,152
Alceu Moreira Da Silva,RS,Sul,PMDB,Governo,152588.41,160
Protógenes Pinheiro De Queiroz,SP,Sudeste,PC do B,Governo,87740.15,145
Wanderley Alves De Oliveira,RJ,Sudeste,PSC,Governo,52296.13,156
Devanir Ribeiro,SP,Sudeste,PT,Governo,169637.1,181
Diego Leonardo De Andrade Carvalho,MG,Sudeste,PSD,Independente,114452.29,170
Dilceu João Sperafico,PR,Sul,PP,Governo,142791.98,179
Dimas Fabiano Toledo Júnior,MG,Sudeste,PP,Governo,80040.14,191
Dimas Eduardo Ramalho,SP,Sudeste,PPS,Oposicao,78922,173
Domingos Francisco Dutra Filho,MA,Nordeste,PT,Governo,104198.15,189
Domingos Gomes De Aguiar Neto,CE,Nordeste,PSB,Governo,36958.03,152
Domingos Sávio Campos Resende,MG,Sudeste,PSDB,Oposicao,125203.11,169
Alessandro Lucciola Molon,RJ,Sudeste,PT,Governo,43151.74,192
Antonio Duarte Nogueira Júnior,SP,Sudeste,PSDB,Oposicao,131437.05,159
João Dudimar De Azevedo Paxiúba,PA,Norte,PSDB,Oposicao,109331.95,121
Edson Edinho Coelho Araújo,SP,Sudeste,PMDB,Governo,78820.18,200
Edson Bez De Oliveira,SC,Sul,PMDB,Governo,149596.26,183
Édio Vieira Lopes,RR,Norte,PMDB,Governo,161083.48,154
Edivaldo De Holanda Braga Junior,MA,Nordeste,PTC,Governo,91922.57,202
Edmar De Souza Arruda,PR,Sul,PSC,Governo,138577.52,167
Edson Ezequiel De Matos,RJ,Sudeste,PMDB,Governo,78515.37,170
Edson Sampaio Pimenta,BA,Nordeste,PSD,Independente,132450.74,177
Edson Santos De Souza,RJ,Sudeste,PT,Governo,133589.8,149
Alex Canziani Silveira,PR,Sul,PTB,Governo,99471.18,180
Edson Silva,CE,Nordeste,PSB,Governo,64097.98,173
Eduardo Brandão De Azeredo,MG,Sudeste,PSDB,Oposicao,94484.76,170
Eduardo Luiz Barros Barbosa,MG,Sudeste,PSDB,Oposicao,128752.25,176
Eduardo Cosentino Da Cunha,RJ,Sudeste,PMDB,Governo,112241.48,194
Eduardo Henrique Da Fonte De Albuquerque Silva,PE,Nordeste,PP,Governo,34392.75,154
Carlos Eduardo Torres Gomes,TO,Norte,PSDB,Oposicao,91140.94,75
Eduardo Francisco Sciarra,PR,Sul,PSD,Independente,129157.71,189
Efraim De Araújo Morais Filho,PB,Nordeste,DEM,Oposicao,139914.42,174
Elcione Therezinha Zahluth Barbalho,PA,Norte,PMDB,Governo,85723.43,158
Eleuses Vieira De Paiva,SP,Sudeste,PSD,Independente,56503.35,162
Alexandre Leite Da Silva,SP,Sudeste,DEM,Oposicao,22531.05,202
Adriano Eli Corrêa,SP,Sudeste,DEM,Oposicao,39136.4,184
Eliane Pontes Rolim,RJ,Sudeste,PT,Governo,53998.16,160
Emiliano José Da Silva Filho,BA,Nordeste,PT,Governo,111264,158
Enio Egon Bergmann Bacci,RS,Sul,PDT,Governo,167731.02,137
Érika Jucá Kokay,DF,Centro-oeste,PT,Governo,84706.01,195
Erivelton Lima Santana,BA,Nordeste,PSC,Governo,53879.89,167
Eros Ferreira Biondini,MG,Sudeste,PTB,Governo,52137.75,175
Alexandre Rubio Roso,RS,Sul,PSB,Governo,57706.11,142
Esperidião Amin Helou Filho,SC,Sul,PP,Governo,82651.13,198
Antônio Eudes Xavier,CE,Nordeste,PT,Governo,106426.76,159
Evandro Costa Milhomen,AP,Norte,PC do B,Governo,169255.32,148
Fábio Salustino Mesquita De Faria,RN,Nordeste,PSD,Independente,124793.93,150
Fábio Augusto Ramalho Dos Santos,MG,Sudeste,PV,Independente,99987.62,191
Fábio Loureiro Souto,BA,Nordeste,DEM,Oposicao,163213.8,175
Fábio Ricardo Trad,MS,Centro-oeste,PMDB,Governo,75930.65,192
Maria De Fátima Bezerra,RN,Nordeste,PT,Governo,115363.92,179
Fátima Lúcia Pelaes,AP,Norte,PMDB,Governo,148675.76,131
Felipe Leone Bornier De Oliveira,RJ,Sudeste,PSD,Independente,121827.48,174
Alexandre José Dos Santos,RJ,Sudeste,PMDB,Governo,64580.35,156
Felipe Catalão Maia,RN,Nordeste,DEM,Oposicao,115328.22,181
Felix De Almeida Mendonça Júnior,BA,Nordeste,PDT,Governo,67352.02,192
Fernando Bezerra De Souza Coelho Filho,PE,Nordeste,PSB,Governo,110182.76,165
Fernando Dantas Ferro,PE,Nordeste,PT,Governo,140601.39,184
Fernando Destito Francischini,PR,Sul,PSDB,Oposicao,127310,193
Fernando Antônio Ceciliano Jordão,RJ,Sudeste,PMDB,Governo,68642.02,154
Fernando Stephan Marroni,RS,Sul,PT,Governo,133972.31,165
Fernando Dantas Torres,BA,Nordeste,PSD,Independente,99293.83,179
Filipe De Almeida Pereira,RJ,Sudeste,PSC,Governo,80427.27,161
Flávia Carreiro Albuquerque Morais,GO,Centro-oeste,PDT,Governo,120729.39,159
Jacob Alfredo Stoffels Kaefer,PR,Sul,PSDB,Oposicao,95789.8,137
Flaviano Flávio Baptista De Melo,AC,Norte,PMDB,Governo,161744.52,156
Francisco Evangelista Dos Santos De Araujo,RR,Norte,PSD,Independente,44437.13,118
Francisco Luiz Escórcio Lima,MA,Nordeste,PMDB,Governo,64591.86,143
